,File Name,Flight Number,Departure Airport,Arrival Airport,Aircraft Registration,Scheduled Time of Departure,Flight Date
84,202502131948472338034.xml,HA245,OGG,HNL,N487HA,22:25:00Z,2025-02-13
85,202502132230412339223.xml,HA1633,AFW,SMF,N5879K,01:30:00Z,2025-02-14
86,202502131851032337758.xml,HA232,HNL,ITO,N494HA,20:00:00Z,2025-02-13
87,202502132320422339623.xml,HA318,HNL,KOA,N485HA,23:45:00Z,2025-02-13
88,202502131225562335871.xml,HA1615,PDX,SBD,N4787K,15:00:00Z,2025-02-13
89,202502130301042334000.xml,HA387,KOA,HNL,N491HA,04:10:00Z,2025-02-13
90,202502130249402333933.xml,HA508,HNL,KOA,N484HA,03:59:00Z,2025-02-13
91,202502130917002335443.xml,HA452,SYD,HNL,N389HA,10:40:00Z,2025-02-13
92,202502130811552335326.xml,HA1650,HNL,SBD,N4621K,09:10:00Z,2025-02-13
93,202502131851032337759.xml,HA201,ITO,HNL,N494HA,21:29:00Z,2025-02-13
94,202502132230412339222.xml,HA251,ITO,HNL,N490HA,23:40:00Z,2025-02-13
95,202502132048482338389.xml,HA12,HNL,SFO,N380HA,22:35:00Z,2025-02-13
96,202502131521132336475.xml,HA133,HNL,LIH,N476HA,16:30:00Z,2025-02-13
97,202502131948472338035.xml,HA236,HNL,OGG,N487HA,20:58:00Z,2025-02-13
98,202502132335592339727.xml,HA549,OGG,LIH,N493HA,00:45:00Z,2025-02-14
99,202502131455502336340.xml,HA122,HNL,ITO,N489HA,16:05:00Z,2025-02-13
100,202502132023442338239.xml,HA451,HNL,SYD,N373HA,22:10:00Z,2025-02-13
101,202502132359502339914.xml,HA336,HNL,OGG,N480HA,00:25:00Z,2025-02-14
102,202502131907532337829.xml,HA240,LIH,OGG,N480HA,20:17:00Z,2025-02-13
103,202502131453162336327.xml,HA47,OAK,HNL,N205HA,16:20:00Z,2025-02-13
104,202502132040322338348.xml,HA207,KOA,HNL,N483HA,21:50:00Z,2025-02-13
105,202502132305212339476.xml,HA314,LIH,HNL,N483HA,01:30:00Z,2025-02-14
106,202502131745492337368.xml,HA239,KOA,OGG,N484HA,18:55:00Z,2025-02-13
