,File Name,Flight Number,Departure Airport,Arrival Airport,Aircraft Registration,Scheduled Time of Departure,Flight Date
303,202502130737492335191.xml,HA1635,JFK,SBD,N4663K,10:37:00Z,2025-02-13
304,202502131603362336670.xml,HA67,OAK,LIH,N227HA,17:55:00Z,2025-02-13
305,202502132252382339370.xml,HA306,HNL,OGG,N493HA,23:25:00Z,2025-02-13
306,202502131521122336474.xml,HA137,KOA,HNL,N478HA,18:00:00Z,2025-02-13
307,202502131500462336366.xml,HA101,ITO,HNL,N491HA,16:10:00Z,2025-02-13
308,202502131941002338007.xml,HA197,KOA,HNL,N478HA,20:50:00Z,2025-02-13
309,202502132130472338716.xml,HA241,ITO,HNL,N495HA,22:40:00Z,2025-02-13
310,202502131941002338006.xml,HA214,LIH,HNL,N492HA,21:49:00Z,2025-02-13
311,202502132351322339866.xml,HA5,LAS,HNL,N393HA,01:30:00Z,2025-02-14
312,202502130502322334580.xml,HA1627,CVG,JFK,N4649K,05:40:00Z,2025-02-13
313,202502132250522339350.xml,HA530,OGG,KOA,N487HA,01:25:00Z,2025-02-14
314,202502131336182336020.xml,HA15,SAN,HNL,N382HA,15:35:00Z,2025-02-13
315,202502130211212333739.xml,HA396,HNL,OGG,N490HA,03:20:00Z,2025-02-13
316,202502131756252337457.xml,HA264,LIH,HNL,N480HA,23:01:00Z,2025-02-13
317,202502130610472334885.xml,HA1650,HNL,SBD,N4621K,09:10:00Z,2025-02-13
318,202502132324032339643.xml,HA1631,CVG,SBD,N4649K,21:30:00Z,2025-02-13
319,202502131121512335740.xml,HA89,BOS,HNL,N395HA,13:00:00Z,2025-02-13
320,202502130231182333846.xml,HA1611,CVG,SMF,N5827K,05:30:00Z,2025-02-13
321,202502132005512338144.xml,HA241,ITO,HNL,N495HA,22:40:00Z,2025-02-13
322,202502132250522339352.xml,HA337,KOA,HNL,N487HA,02:31:00Z,2025-02-14
323,202502131317442335997.xml,HA11,SFO,HNL,N391HA,15:45:00Z,2025-02-13
324,202502131231152335896.xml,HA95,SLC,HNL,N220HA,14:00:00Z,2025-02-13
325,202502131821102337586.xml,HA208,HNL,KOA,N478HA,19:30:00Z,2025-02-13
326,202502132130472338715.xml,HA449,HNL,KIX,N396HA,23:20:00Z,2025-02-13
327,202502130218072333781.xml,HA374,LIH,HNL,N480HA,03:35:00Z,2025-02-13
328,202502130218072333780.xml,HA373,HNL,LIH,N480HA,02:25:00Z,2025-02-13
329,202502131941002338005.xml,HA233,HNL,LIH,N492HA,20:40:00Z,2025-02-13
330,202502131417212336155.xml,HA65,SMF,LIH,N228HA,16:05:00Z,2025-02-13
331,202502131430522336216.xml,HA63,LAX,LIH,N209HA,16:30:00Z,2025-02-13
332,202502131436422336243.xml,HA118,HNL,KOA,N495HA,15:40:00Z,2025-02-13
